eta,seed,delta_nominal,particle_oracle_factor,E2_particle_oracle,tik_oracle_lambda,E2_tik_oracle,particle_disc_factor_tau1.0,E2_particle_disc_tau1.0,particle_note_tau1.0,tik_disc_lambda_tau1.0,E2_tik_disc_tau1.0,particle_disc_factor_tau1.2,E2_particle_disc_tau1.2,particle_note_tau1.2,tik_disc_lambda_tau1.2,E2_tik_disc_tau1.2
0.005,10,0.012075938828219984,6.0,0.0300623871995728,0.01,0.019532563571612486,4.0,0.1096197720057111,nonmonotonic,0.0013031985961692995,0.018530927603654733,4.0,0.1096197720057111,nonmonotonic,0.0035158801059875376,0.01407289363945134
0.005,11,0.012075938828219984,6.0,0.0272048140343256,0.01,0.01573685179004954,4.0,0.1052488886740142,nonmonotonic,0.0012377459799305765,0.017192884930520756,4.0,0.1052488886740142,nonmonotonic,0.0033582899514500776,0.010881460631033842
0.005,12,0.012075938828219984,6.0,0.0275333242095844,0.001,0.014654165918206829,4.0,0.1291109906229705,nonmonotonic,0.0010485284158774262,0.01439690082106622,4.0,0.1291109906229705,nonmonotonic,0.0029274203766190402,0.010418415128700304
0.005,13,0.012075938828219984,6.0,0.0274992480005416,0.01,0.015171645462082604,4.0,0.1467056695954601,nonmonotonic,1e-08,5.021610040884585,4.0,0.1467056695954601,nonmonotonic,0.0023094050309424028,0.011537433891512792
0.005,14,0.012075938828219984,6.0,0.027519306807069,0.001,0.012498270087231396,4.0,0.1095144897052309,nonmonotonic,0.0013097605308437096,0.011194766041604918,4.0,0.1095144897052309,nonmonotonic,0.0035467672254320235,0.009648901921782914
0.005,15,0.012075938828219984,6.0,0.028325857625005,0.01,0.01698360155204307,4.0,0.1383660547035221,nonmonotonic,0.0010798953152539952,0.020059861495432853,4.0,0.1383660547035221,nonmonotonic,0.00299213378009613,0.01224059823968235
0.005,16,0.012075938828219984,6.0,0.0278817074416469,0.001,0.012812897363492,4.0,0.1632765467502172,nonmonotonic,0.0011289736318920438,0.012050492774749441,4.0,0.1632765467502172,nonmonotonic,0.0031169898817232766,0.008132196972072823
0.005,17,0.012075938828219984,6.0,0.0266028804840041,0.01,0.016818772368263693,4.0,0.1019648762110885,nonmonotonic,0.0011015704877067594,0.023680376584410464,4.0,0.1019648762110885,nonmonotonic,0.00302136731369031,0.016052035515011807
0.005,18,0.012075938828219984,6.0,0.0280616224269883,0.01,0.017089026452933333,4.0,0.1490481890949346,nonmonotonic,1e-08,4.786000792208853,4.0,0.1490481890949346,nonmonotonic,0.0024710210451499687,0.016288224086267854
0.005,19,0.012075938828219984,6.0,0.0255923841498453,0.001,0.013011227235061434,4.0,0.0893342933224552,nonmonotonic,0.0011640538629387749,0.012296851409913392,4.0,0.0893342933224552,nonmonotonic,0.003193577972139902,0.009310405743565259
0.005,20,0.012075938828219984,6.0,0.0279092582602806,0.01,0.018837778286318295,4.0,0.0983070395709782,nonmonotonic,1e-08,3.7866057419298564,4.0,0.0983070395709782,nonmonotonic,0.0023601134131810207,0.015301728846233468
0.005,21,0.012075938828219984,6.0,0.0260264757170136,0.001,0.014836577539593767,4.0,0.1095617610014033,nonmonotonic,0.0016999563865633576,0.012454624154771199,4.0,0.1095617610014033,nonmonotonic,0.004394345808800549,0.010561499240941082
0.005,22,0.012075938828219984,6.0,0.0279135062020942,0.01,0.016854456519793507,4.0,0.1411649837757045,nonmonotonic,0.0010822406747720483,0.021620365140297644,4.0,0.1411649837757045,nonmonotonic,0.0029798203660988828,0.015356088402322238
