study,case,h,eps_rel,eta,status,censored,failure_step,failure_message,B0,B1,E2,K_modes,K_tightened,Linf_rel,delta_nom,delta_real,eps_abs,forward_residual,gate_eps_floor,gate_tightened,mass_change_rel,mass_error_rel,mass_reconstruction,max_abs_score,min_raw_density,min_reconstruction,min_regularized_denominator,negative_fraction,negative_mass_removed,tightened_max_change,tv_reconstruction,tv_reference
bandwidth_clean,H,0.005,1e-08,0.0,completed,False,,,3.552371234896753e-14,5.796764487941371e-11,0.6469154236155072,511,547,1.2026916610073577,nan,nan,2.3423306371629116e-09,0.0786162259748445,True,True,nan,1.3034510454156833e-15,0.23423306371629146,383.94501455509175,0.017532842526265552,0.0029868134749946873,0.01753284486859619,nan,nan,5.712529785998751e-11,32.79636797197361,2.163557818161837
bandwidth_clean,H,0.007,1e-08,0.0,completed,False,,,2.469888469028987e-14,2.8799473569520488e-11,0.6327742859521777,365,391,0.9217348746030725,nan,nan,2.3423306371629116e-09,0.03268723901528774,True,True,nan,3.554866487497318e-16,0.23423306371629124,222.42626372939336,0.02146870392724437,0.0062224795018487045,0.02146870626957501,nan,nan,7.52156067629707e-14,23.17194211129068,2.163557818161837
bandwidth_clean,H,0.01,1e-08,0.0,completed,False,,,1.8867218254514607e-14,1.5379667116192168e-11,0.0404050265451056,255,273,0.058528020936001,nan,nan,2.3423306371629116e-09,0.009913840674572877,True,True,nan,2.3699109916648787e-16,0.2342330637162912,122.10859429782705,0.02270671862617496,0.007673919281689062,0.0227067209685056,nan,nan,4.813640077223422e-15,2.4791263206751752,2.163557818161837
bandwidth_clean,H,0.014,1e-08,0.0,completed,False,,,1.3425756610951584e-14,7.817599175398334e-12,0.0456178160275058,182,195,0.05933751991269563,nan,nan,2.3423306371629116e-09,0.01836712296242902,True,True,nan,3.554866487497318e-16,0.23423306371629124,24.11001601708253,0.04734294356015692,0.04727219043101377,0.047342945902487554,nan,nan,2.1909722659061092e-16,2.0090685396362185,2.163557818161837
bandwidth_clean,H,0.02,1e-08,0.0,completed,False,,,1.0605485096053929e-14,4.3151396966679395e-12,0.0826660094505037,127,136,0.10853540699046452,nan,nan,2.3423306371629116e-09,0.03471657882759461,True,True,nan,3.554866487497318e-16,0.23423306371629124,22.423220777585527,0.04706575482689712,0.04699992684644644,0.04706575716922776,nan,nan,2.8646250387445545e-16,1.8769869093893619,2.163557818161837
bandwidth_clean,H,0.028,1e-08,0.0,completed,False,,,5.502997250245e-15,1.607044682797365e-12,0.1367112866510541,91,98,0.17857712100477394,nan,nan,2.3423306371629116e-09,0.06075338389714143,True,True,nan,3.554866487497318e-16,0.23423306371629124,20.346245375315352,0.04673444442156521,0.046675851126981444,0.04673444676389585,nan,nan,2.9129154927368764e-16,1.6814682746453653,2.163557818161837
bandwidth_clean,H,0.04,1e-08,0.0,completed,False,,,6.604854189044401e-15,1.3397133402661748e-12,0.21372461327176281,63,68,0.2710198683139058,nan,nan,2.3423306371629116e-09,0.10269015407572886,True,True,nan,2.3699109916648787e-16,0.2342330637162912,17.399327750977655,0.04703215311684247,0.04698912255492582,0.04703215545917311,nan,nan,3.413378623822389e-16,1.3911908948966984,2.163557818161837
bandwidth_clean,Z,0.005,1e-08,0.0,completed,False,,,1.9007722560685668e-14,3.1016828999750384e-11,0.05593592749711445,511,547,0.08252640920588737,nan,nan,1.2533141373069563e-09,0.004277153243350579,True,True,nan,0.0,0.12533141373069562,264.7437114432238,0.002500000026571317,-1.27675647831893e-15,0.002500001279885454,nan,nan,1.929047602696415e-14,2.8266513321983044,1.9993750976460627
bandwidth_clean,Z,0.007,1e-08,0.0,completed,False,,,1.3215666852032748e-14,1.5409774691499977e-11,0.012690718475847688,365,391,0.013174855028463056,nan,nan,1.2533141373069563e-09,0.008082454156791003,True,True,nan,0.0,0.12533141373069562,124.35222215253886,0.0017857142996518527,-7.216449660063518e-16,0.00178571555296599,nan,nan,5.777000297526926e-15,2.0019812528951375,1.9993750976460627
bandwidth_clean,Z,0.01,1e-08,0.0,completed,False,,,1.0095308917907641e-14,8.2292200417724e-12,0.022533016758680992,255,273,0.025813361971774543,nan,nan,1.2533141373069563e-09,0.01620042316393405,True,True,nan,0.0,0.12533141373069562,81.28718684050311,0.001250051574213873,-8.604228440844963e-16,0.0012500528275280103,nan,nan,3.608017702759587e-15,1.9518141311919877,1.9993750976460627
bandwidth_clean,Z,0.014,1e-08,0.0,completed,False,,,7.183738408907484e-15,4.182973748827109e-12,0.042150663543539614,182,195,0.04806346457731112,nan,nan,1.2533141373069563e-09,0.030630806557021547,True,True,nan,0.0,0.12533141373069562,61.963233619893806,0.0015536638711224904,-5.273559366969494e-16,0.0015536651244366277,nan,nan,4.3362049099581955e-15,1.9032782034636337,1.9993750976460627
