test,n_grid,method_name,method_type,score_method,n_particles,recon_method,bandwidth_factor,bandwidth_used,epsilon,smooth_sigma_factor,completed,failure_step,failure_msg,step_zero_recon_error,relative_l2,l2_error,linf_error,forward_consistency_l2,wasserstein,mass_rel_error,total_variation,peak_value,peak_ratio,A_fit,mu_fit,sigma_fit,fit_success,fit_rmse,mass_candidate,mass_true,runtime_seconds,max_score_L2_error_vs_oracle,mean_score_L2_error_vs_oracle,max_abs_score_final,n_denom_below_eps_total,n_clipped_total
Z,400,density_est_fd_grid_ratio_eps=1e-10,density_particle_fd_grid_ratio,fd_grid_ratio,5000,kde,1.0,0.0025062656641604,1e-10,,True,,,0.0016563677773227,0.8604184865018623,0.2561428297963373,1.8131231673823307,0.0133329212499337,0.0041648751847758,2.4690189519841903e-09,37.831617610095904,2.7744923896774947,2.7750501291389433,0.9303254842165292,0.3997342986846313,0.0533335618101497,True,0.2552216154592854,0.1253314140409956,0.1253314137315499,0.4795530829578638,2188.9496539349097,2078.3501317812893,3.8180306254124208,10662,0
Z,400,density_est_fd_grid_ratio_eps=1e-08,density_particle_fd_grid_ratio,fd_grid_ratio,5000,kde,1.0,0.0025062656641604,1e-08,,True,,,0.0016563677773227,0.8604184861950913,0.2561428297050129,1.8131231654064064,0.0133329211679447,0.0041648751851636,2.4690189519841903e-09,37.83161752500016,2.7744923877015704,2.775050127162622,0.9303254848017428,0.3997342986299473,0.0533335617612297,True,0.2552216153819335,0.1253314140409956,0.1253314137315499,0.4827812910079956,1156.3247103790347,1060.3377428706442,3.818030446273019,10700,0
Z,400,density_est_fd_grid_ratio_eps=1e-06,density_particle_fd_grid_ratio,fd_grid_ratio,5000,kde,1.0,0.0025062656641604,1e-06,,True,,,0.0016563677773227,0.8604184998034801,0.2561428337561708,1.8131232718470924,0.0133329241012331,0.0041648766299179,2.46903002485682e-09,37.83162395935166,2.7744924941422564,2.775050233624705,0.9303254520331664,0.3997342954913547,0.0533335644334978,True,0.2552216187158663,0.1253314140409969,0.1253314137315499,0.4691922919591889,776.9556779895272,613.3196667529357,3.8180118411529462,10800,0
Z,400,density_est_fd_grid_ratio_eps=1e-04,density_particle_fd_grid_ratio,fd_grid_ratio,5000,kde,1.0,0.0025062656641604,0.0001,,True,,,0.0016563677773227,0.8604094232374926,0.2561401317020735,1.8131327692536072,0.0133320034773095,0.0041681930286345,2.468710683210172e-09,37.8319574114026,2.7745019915487714,2.7750597329404263,0.93034603351171,0.3997361918172099,0.0533299828065873,True,0.2552194778145377,0.1253314140409569,0.1253314137315499,0.4695115410140715,540.489440341983,365.713193039159,3.8492767231756337,11308,0
Z,400,density_est_fd_grid_ratio_raw,density_particle_fd_grid_ratio,fd_grid_ratio,5000,kde,2.0,0.0050125313283208,0.0,,True,,,0.0033954774810181,0.0354213465559843,0.0105447803416378,0.0631762983559222,0.0013653965802458,0.0004108386943774,-6.888212605641413e-12,2.3979039377626625,0.9925394592754132,0.9927389834930838,0.992896012256316,0.399995262696286,0.0503301708773073,True,0.01037802185418,0.1253314137306866,0.1253314137315499,0.4839276249986142,3221022382.913616,3208259252.729846,272.02597936981374,3750,0
Z,400,density_est_fd_grid_ratio_eps=1e-10,density_particle_fd_grid_ratio,fd_grid_ratio,5000,kde,2.0,0.0050125313283208,1e-10,,True,,,0.0033954774810181,0.0354213454674631,0.0105447800175897,0.063176297153898,0.0013653965905623,0.0004108386909776,-6.888434063094012e-12,2.397903835290843,0.9925394592655534,0.992738983483222,0.9928960122133536,0.3999952626983131,0.0503301708774288,True,0.0103780215253521,0.1253314137306866,0.1253314137315499,0.4737096249591559,327.0209997006873,308.53821972626406,272.02598498440864,10098,0
Z,400,density_est_fd_grid_ratio_eps=1e-08,density_particle_fd_grid_ratio,fd_grid_ratio,5000,kde,2.0,0.0050125313283208,1e-08,,True,,,0.0033954774810181,0.0354212376540765,0.0105447479220149,0.0631761782784762,0.0013653976107172,0.0004108383563692,-6.888434063094012e-12,2.3978936871379792,0.9925394575705144,0.992738981787842,0.9928960103117068,0.3999952628907446,0.0503301707970424,True,0.0103779889568736,0.1253314137306866,0.1253314137315499,0.4933976659667678,246.16045347709257,219.09968388479575,272.02653878558596,10200,0
Z,400,density_est_fd_grid_ratio_eps=1e-06,density_particle_fd_grid_ratio,fd_grid_ratio,5000,kde,2.0,0.0050125313283208,1e-06,,True,,,0.0033954774810181,0.0354047007420745,0.0105398249554553,0.0631642802525437,0.0013656180571015,0.0004106335423669,-6.888212605641413e-12,2.3960229815051903,0.9925392886897768,0.9927388128731552,0.9928948491045192,0.399995233606592,0.050330279384843,True,0.0103729368331242,0.1253314137306866,0.1253314137315499,0.4757523339940235,199.6361415591112,163.30396738533472,272.080795545151,10449,0
Z,400,density_est_fd_grid_ratio_eps=1e-04,density_particle_fd_grid_ratio,fd_grid_ratio,5000,kde,2.0,0.0050125313283208,0.0001,,True,,,0.0033954774810181,0.0352086794554411,0.010481470273581,0.061830330484678,0.0013693123083905,0.0004150919345935,-6.888212605641413e-12,2.4098968040931172,0.9925224014771242,0.9927219222657684,0.992892975613932,0.3999970729058142,0.0503279750914477,True,0.0103142646225837,0.1253314137306866,0.1253314137315499,0.4751580830197781,158.81185629615828,122.71069600584066,264.82683796322436,10902,0
Z,400,density_est_fd_grid_ratio_raw,density_particle_fd_grid_ratio,fd_grid_ratio,5000,kde,4.0,0.0100250626566416,0.0,,True,,,0.0124675257412425,0.0230324973017842,0.0068566739658757,0.0264203497360744,0.0046910629035438,0.0010845027838603,-6.888212605641413e-12,1.949886003300232,0.9733786667012893,0.973574339140461,0.9736156444233556,0.4000000009096404,0.0513572194043271,True,0.0002629145727321,0.1253314137306866,0.1253314137315499,0.517394833965227,472608.99066631874,416097.287133056,79.49264159783581,60,0
