study,case,eta,seed,arm,selection,tau,status,censored,failure_step,failure_message,E2_at_selection,E2_tikhonov_projected,E2_tikhonov_raw,coarse_winner_z,delta_nom,delta_real,evaluations,lambda_selected,residual_at_selection,selection_label,target_residual,z_selected
lambda_noise,B,0.001,9,P,residual,1.2,completed,False,,,0.003606940815309996,0.0034560453283902426,0.003606940815309996,nan,0.0024120277785545296,0.0022207207307690375,73,0.0015227941155635915,0.0028944333155102985,morozov,0.0028944333342654353,-2.817358810070961
lambda_noise,B,0.001,9,P,residual,1.0,completed,False,,,0.003695319003723997,0.0034352743623968385,0.003695319003723997,nan,0.0024120277785545296,0.0022207207307690375,72,0.0008782138196090853,0.002412027740327617,morozov,0.0024120277785545296,-3.056399733101882
lambda_noise,B,0.001,10,R,oracle_continuous,none,completed,False,,,0.0036462610896743834,0.0035306985673239717,0.0036462610896743834,-2.890625,0.0024115677326221937,0.002366697549951578,76,0.0011251602943422238,0.002732839051622387,oracle_continuous,nan,-2.9487856020065957
lambda_noise,B,0.001,10,R,residual,1.2,completed,False,,,0.0036982258055009765,0.003597956731013907,0.0036982258055009765,nan,0.0024115677326221937,0.002366697549951578,73,0.001347136356991251,0.0028938812789532403,morozov,0.0028938812791466325,-2.870588442813248
lambda_noise,B,0.001,10,R,residual,1.0,completed,False,,,0.004323250804477752,0.004090531918444943,0.004323250804477752,nan,0.0024115677326221937,0.002366697549951578,73,0.000519715778857825,0.0024115677237482825,morozov,0.0024115677326221937,-3.284234097556864
lambda_noise,B,0.001,10,P,oracle_continuous,none,completed,False,,,0.0036537542451615264,0.0035537867103662747,0.0036537542451615264,-2.890625,0.0024115684600272552,0.0022140081502690333,76,0.0011514920739152809,0.0025865101897362113,oracle_continuous,nan,-2.9387390470759582
lambda_noise,B,0.001,10,P,residual,1.2,completed,False,,,0.0037985776545032654,0.0037320907302270698,0.0037985776545032654,nan,0.0024115684600272552,0.0022140081502690333,73,0.0015320143198237972,0.0028938821322407222,morozov,0.0028938821520327063,-2.814737175309556
lambda_noise,B,0.001,10,P,residual,1.0,completed,False,,,0.0037493160903333167,0.0036002638342827746,0.0037493160903333167,nan,0.0024115684600272552,0.0022140081502690333,72,0.0008931626623783385,0.0024115687118070345,morozov,0.0024115684600272552,-3.049069440394583
lambda_noise,B,0.001,11,R,oracle_continuous,none,completed,False,,,0.002508299250842066,0.0024514472241305013,0.002508299250842066,-3.0625,0.0024120842329567738,0.002406908812418358,76,0.0009054631172798805,0.0026435633988929124,oracle_continuous,nan,-3.043129235342253
lambda_noise,B,0.001,11,R,residual,1.2,completed,False,,,0.002698879933418031,0.0026109168233298245,0.002698879933418031,nan,0.0024120842329567738,0.002406908812418358,71,0.0012886617904401476,0.0028945013423527996,morozov,0.0028945010795481283,-2.8898610483708502
lambda_noise,B,0.001,11,R,residual,1.0,completed,False,,,0.003590130801546612,0.0034911787116242202,0.003590130801546612,nan,0.0024120842329567738,0.002406908812418358,73,0.00034083575319517496,0.0024120842229224332,morozov,0.0024120842329567738,-3.467454854630266
lambda_noise,B,0.001,11,P,oracle_continuous,none,completed,False,,,0.0027235134714183565,0.0025976504887992805,0.0027235134714183565,-3.0625,0.002412085038319623,0.002239064898901122,76,0.0009799283209751312,0.0024952531843349915,oracle_continuous,nan,-3.0088056905763523
lambda_noise,B,0.001,11,P,residual,1.2,completed,False,,,0.0030437487491125313,0.002940260281414366,0.0030437487491125313,nan,0.002412085038319623,0.002239064898901122,73,0.0015044764116151955,0.002894502029240852,morozov,0.0028945020459835475,-2.822614617086856
