test,n_grid,method_name,method_type,n_particles,globs_per_jump,recon_method,bandwidth_factor,bandwidth_used,completed,failure_step,failure_msg,step_zero_recon_error,relative_l2,l2_error,linf_error,forward_consistency_l2,wasserstein,mass_rel_error,total_variation,peak_value,peak_ratio,A_fit,mu_fit,sigma_fit,fit_success,fit_rmse,mass_candidate,mass_true,runtime_seconds
H,100,density_particle_oracle_deterministic,density_particle_oracle,20000,0,histogram,,,True,,,0.012515796727250708,0.01208640849636054,0.0038355499458001432,0.025657152946303087,0.0017852051356641978,0.0007070371194189353,-0.0010924187495200556,2.2087586227716978,0.7965444482121555,0.9958275736199907,0.46203374176788486,0.46976720492332924,0.2095214837144662,True,0.14465216752148843,0.23398119857389835,0.2342370835558076,0.06972858298104256
H,100,density_particle_oracle_deterministic,density_particle_oracle,20000,0,kde,1.0,0.010101010101010102,True,,,0.014861025065243625,0.0192171999308245,0.006098464252246609,0.025152087896293036,0.003177922292262244,0.0010448437142838753,-0.0018754623223789884,2.1538183934751296,0.7828539356751685,0.9787119061742857,0.4617164742363516,0.4698323049540406,0.20956138819300418,True,0.14144330162248953,0.23379778073109475,0.2342370835558076,0.08100891701178625
H,100,density_particle_oracle_deterministic,density_particle_oracle,20000,0,kde,2.0,0.020202020202020204,True,,,0.027327599397583842,0.05235325226964827,0.016613993641351493,0.05569257994958132,0.007558926922491346,0.0023032091678880278,-0.0035223577905521214,2.025505310105681,0.7441893165885819,0.9303739962229234,0.4605791569310127,0.4700358606593467,0.20981521976151007,True,0.13172404296235957,0.2334120167397086,0.2342370835558076,0.18965779099380597
H,100,density_particle_oracle_deterministic,density_particle_oracle,20000,0,kde,4.0,0.04040404040404041,True,,,0.07720764165006674,0.1578820848468505,0.05010294184244218,0.1638568650059743,0.022302840113423268,0.006643281921937621,-0.006931231683111021,1.6352972084407582,0.6360250315321889,0.7951486766794746,0.4556482891534409,0.4707964870682095,0.21135218084125854,True,0.10169386098556907,0.23261353206090607,0.2342370835558076,0.08949708298314363
H,100,oracle_score_deterministic,gradient_glob_oracle,0,20,,,,True,,,,0.2421666382496697,0.076850144233733,0.23630452901753207,0.04788514081766056,0.011236936224658375,-0.09064106474416196,1.2976412183001471,0.5635773675206311,0.7045757254411649,0.41915185368072894,0.48244798023257607,0.20793205191233333,True,0.07737921904101352,0.21300558489974197,0.2342370835558076,0.011497542029246688
H,100,oracle_score_deterministic,gradient_glob_oracle,0,80,,,,True,,,,0.24216663824966234,0.07685014423373067,0.23630452901752108,0.047885140817656525,0.011236936224661855,-0.0906410647441231,1.2976412183001587,0.5635773675206421,0.7045757254411786,0.4191518535702164,0.4824479802321498,0.20793205197207923,True,0.07737921904101275,0.21300558489975108,0.2342370835558076,0.035836499999277294
H,100,tikhonov_best,baseline_tikhonov,0,0,,1e-05,,True,,,,0.008225854199432477,0.0026104259704852486,0.006586122348087087,8.11814123910505e-06,0.0002966782676008844,7.959796522524222e-06,2.193469911488867,0.8064571836618734,1.0082203224653135,0.46220611989738636,0.46970755303779843,0.2096675611674392,True,0.14780985422855034,0.23423894803533074,0.2342370835558076,
H,100,spectral_cutoff_best,baseline_spectral,0,0,,0.01,,True,,,,0.010182048353519064,0.00323121256593589,0.008906261063816145,1.2588060598737395e-05,0.000324063242456154,3.3744238946806874e-05,2.206503737863031,0.8050395487772403,1.00644801721529,0.46220966000457886,0.4697088854612799,0.20966911965650945,True,0.14782494191112572,0.23424498770792532,0.2342370835558076,
H,200,density_particle_oracle_deterministic,density_particle_oracle,1000,0,histogram,,,True,,,0.061755357959804864,0.050647059281369894,0.01607153068329531,0.04322463147644587,0.0008974532875298632,0.00040518174945469937,-0.0010172279489281222,3.822214848432223,0.7924103954066803,0.9890726326810605,0.4621595983326987,0.46971667666187245,0.20951463873281617,True,0.14635016371219436,0.23399881318689736,0.23423708569714397,0.008162665995769203
H,200,density_particle_oracle_deterministic,density_particle_oracle,1000,0,kde,1.0,0.005025125628140704,True,,,0.00927703544644805,0.009329565876083249,0.002960495759611678,0.02532581144440376,0.001237645565039712,0.0004805223243225244,-0.0009083505491000333,2.1975932728769414,0.7964249456843524,0.9940835232942884,0.4620266863374553,0.4697545137551621,0.2095491944719256,True,0.1448258903594223,0.23402431631173137,0.23423708569714397,0.009700334048829973
H,200,density_particle_oracle_deterministic,density_particle_oracle,1000,0,kde,2.0,0.010050251256281407,True,,,0.01215034391849915,0.016853727785894647,0.005348093395395774,0.025158222382916585,0.0024390362896249524,0.0008479191012264338,-0.001741068026588491,2.162592242664209,0.785636708038211,0.9806178359780817,0.4617942204534194,0.4698051965493088,0.20955148840134477,True,0.1422086169329414,0.2338292629965954,0.23423708569714397,0.008499916002620012
